n,r2,rmse,mae,spearman,experiment,model,outcome,feature_set,fold,n_train,n_test,z_dim,train_edges,test_edges,n_outputs,holdout_country
1490,0.3774247870002605,2.428005146871313,2.039812800065683,0.6567826732538145,loco,xgb,dhs_women_edu,ae_plus_amount,,3696,1490,,,,,KEN
1489,-0.44411154590185453,0.18149828440978136,0.15042967739207902,0.08390581302145944,loco,xgb,dhs_stunting,ae_only,,3643,1489,,,,,KEN
1489,-0.2794695630685715,0.17083904446437506,0.1403343423643094,0.21194450608804397,loco,xgb,dhs_stunting,tab_only,,3643,1489,,,,,KEN
1489,-0.26746760984047246,0.1700358861200658,0.1403759010323768,0.16832398111874577,loco,xgb,dhs_stunting,full,,3643,1489,,,,,KEN
1489,-0.2758420704463356,0.17059669510979467,0.14018159867699032,0.1455925195593053,loco,xgb,dhs_stunting,ae_plus_orthogonal,,3643,1489,,,,,KEN
1489,-0.2772897300468744,0.17069345313836506,0.1412748701637767,0.15274716118378112,loco,xgb,dhs_stunting,ae_plus_amount,,3643,1489,,,,,KEN
1490,-0.06850721116321257,0.0946756333006559,0.07249359194464332,0.30810563027584825,loco,xgb,dhs_mobile,ae_only,,3696,1490,,,,,KEN
1490,-0.45751677689527503,0.11057482770914816,0.08511840305072349,0.38101216306073454,loco,xgb,dhs_mobile,tab_only,,3696,1490,,,,,KEN
1490,0.00783268562394479,0.09123089763352879,0.0682953830333364,0.34358876390791115,loco,xgb,dhs_mobile,full,,3696,1490,,,,,KEN
1490,-0.013472969492214215,0.09220523417185571,0.07037446128842015,0.3612804552893265,loco,xgb,dhs_mobile,ae_plus_orthogonal,,3696,1490,,,,,KEN
1490,-0.0016306280859330613,0.09166494625452964,0.07092169061203131,0.3264785633942023,loco,xgb,dhs_mobile,ae_plus_amount,,3696,1490,,,,,KEN
1350,0.6409888953568963,0.5290875655769625,0.42785240263954083,0.8190530596846539,loco,xgb,dhs_wealth,ae_only,,3836,1350,,,,,NGA
1350,0.76228554839806,0.4305280048009064,0.3309796357637754,0.8741899922395933,loco,xgb,dhs_wealth,tab_only,,3836,1350,,,,,NGA
1350,0.7565840842412737,0.4356604137522442,0.3349905399015794,0.8697065805431626,loco,xgb,dhs_wealth,full,,3836,1350,,,,,NGA
